title,slug,price,currency,location,address,property_type,status,bedrooms,bathrooms,toilets,size,land_size,description,features,published,featured
Luxury Villa in Ikoyi,,250000000,NGN,"Victoria Island, Ikoyi, Lagos",,residential,available,5,5,6,650,,Stunning luxury villa with ocean views in the heart of Ikoyi.,Pool|Home Theater|Smart Home|Walk-in Closet,yes,yes
Modern Apartment in Lekki,,95000000,NGN,"Lekki Phase 1, Lagos",,residential,available,3,2,3,150,,Contemporary apartment in a prime Lekki location with modern finishes and 24-hour security.,24/7 Security|Gym|Parking|Generator,yes,no
Commercial Space in Victoria Island,,180000000,NGN,"Victoria Island, Lagos",,commercial,available,,2,2,300,,Prime commercial space suitable for offices or retail with high foot traffic.,24/7 Security|Generator|Parking,yes,no
Executive Duplex in Maitama,,320000000,NGN,"Maitama, Abuja",,residential,available,6,6,6,800,,Exquisite duplex in Abuja's most prestigious district with panoramic views and private garden.,Pool|Home Theater|Smart Home|Garden|Staff Quarters,yes,yes
Penthouse in Banana Island,,450000000,NGN,"Banana Island, Lagos",,residential,available,4,4,5,550,,Ultra-luxury penthouse on Banana Island with private terrace and skyline views.,Pool|Private Elevator|Smart Home|Terrace,yes,yes
Land in Katampe Extension,,50000000,NGN,"Katampe Extension, Abuja",,land,available,,,,,2000,Prime development land in Katampe Extension with C of O. Ideal for residential development.,C of O|Fenced,yes,no
Mixed-Use Development in GRA,,275000000,NGN,"GRA, Port Harcourt, Rivers",,mixed-use,available,2,2,3,400,,Mixed-use building with retail on ground floor and luxury apartments above.,24/7 Security|Generator|Parking|CCTV,yes,no
Off-Plan Tower in Eko Atlantic,,150000000,NGN,"Eko Atlantic, Lagos",,residential,off-plan,2,2,2,120,,Pre-construction pricing for a luxury tower in Eko Atlantic City with ocean views.,Pool|Gym|Concierge|Parking,yes,no
Serviced Apartment in Wuse 2,,85000000,NGN,"Wuse 2, Abuja",,residential,available,2,2,2,130,,Fully serviced apartment in central Abuja with access to all amenities.,24/7 Security|Gym|Pool|Housekeeping,yes,no
Warehouse in Apapa,,120000000,NGN,"Apapa, Lagos",,commercial,available,,,,,500,Spacious warehouse in Apapa with easy access to the port. Ideal for logistics and storage.,24/7 Security|Loading Bay|Parking,yes,no
Reserved Villa in Asokoro,,280000000,NGN,"Asokoro, Abuja",,residential,reserved,5,5,5,700,,Elegant villa in Asokoro with classic architecture and expansive grounds. Currently reserved.,Pool|Garden|Staff Quarters|Generator,yes,no
Studio Apartment in Yaba,,35000000,NGN,"Yaba, Lagos",,residential,available,1,1,1,45,,Modern studio apartment in the heart of Yaba. Perfect for young professionals.,24/7 Security|Generator|Parking,yes,no
Commercial Plot in Guzape,,65000000,NGN,"Guzape, Abuja",,land,available,,,,,1500,Commercial land in Guzape District with title documents. Suitable for retail or office development.,C of O|Survey Plan,no,no
Luxury Estate in Lekki Phase 2,,650000000,NGN,"Lekki Phase 2, Lagos",,residential,available,7,7,8,1200,,Bespoke luxury estate with multiple buildings and resort-style amenities on sprawling grounds.,Pool|Tennis Court|Home Theater|Gym|Garden|Staff Quarters|Smart Home,yes,yes
Sold Property in Osborne Foreshore,,195000000,NGN,"Osborne Foreshore, Lagos",,residential,sold,4,3,4,350,,Recently sold premium property on Osborne Foreshore. Similar units available on request.,Pool|24/7 Security|Parking,yes,no
